[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_3194-1024x1024.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_3194-1024x1024.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_3194.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_3194.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_4804-2-768x768.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_4804-2-768x768.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_0269-1536x1152.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_0269-1536x1152.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_4804-1-300x160.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_4804-1-300x160.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_4804-2-1024x1024.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_4804-2-1024x1024.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_6239-300x300.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_6239-300x300.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_4804-300x225.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_4804-300x225.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_3061-300x225.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_3061-300x225.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_0264-150x150.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_0264-150x150.jpg
